"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365CH","B365CD","B365CA"
"15/09/2024","Kasimpasa","Fenerbahce","0","2","A","0","2","A","13","6","3","2","11","15","6","5","3","1","0","0","5.5","5","1.48","5.5","5","1.5"
"15/09/2024","Kayserispor","Eyupspor","2","2","D","0","2","A","10","10","6","5","11","10","6","8","4","2","0","0","3","3.5","2.25","2.5","3.5","2.7"
"15/09/2024","Alanyaspor","Hatayspor","0","0","D","0","0","D","8","9","2","2","11","15","5","4","3","1","0","0","1.75","3.75","4.5","1.73","3.6","4.75"
"15/09/2024","Trabzonspor","Besiktas","1","1","D","1","1","D","5","14","1","4","14","8","1","13","2","3","1","0","3.3","3.5","2.1","2.8","3.4","2.45"
"16/09/2024","Antalyaspor","Ad. Demirspor","2","1","H","0","0","D","12","16","5","9","9","9","8","4","1","2","0","0","1.73","3.9","4.33","1.8","4","3.9"
"17/09/2024","Galatasaray","Gaziantep","3","1","H","2","0","H","25","6","7","4","11","6","11","4","1","1","0","0","1.2","7.5","10","1.22","7","9.5"
"18/09/2024","Samsunspor","Buyuksehyr","2","0","H","0","0","D","13","15","6","6","12","11","4","2","5","2","0","0","2.4","3.2","3","2.1","3.1","3.75"
"19/09/2024","Trabzonspor","Kayserispor","2","2","D","0","1","A","21","10","8","3","3","12","8","3","0","6","0","1","1.65","3.75","5.25","1.6","3.8","5.5"
"20/09/2024","Hatayspor","Bodrumspor","0","1","A","0","1","A","13","8","2","1","11","13","9","7","2","6","0","0","2.63","3.1","2.8","2.15","3.2","3.5"
"21/09/2024","Konyaspor","Sivasspor","0","0","D","0","0","D","14","9","5","5","16","13","7","4","5","4","0","0","2.1","3.4","3.4","1.85","3.4","4.33"
"21/09/2024","Fenerbahce","Galatasaray","1","3","A","0","2","A","27","14","12","8","13","23","10","2","3","6","0","0","2.15","3.4","3.25","2.2","3.25","3.25"
"22/09/2024","Kasimpasa","Antalyaspor","0","0","D","0","0","D","13","4","3","2","18","18","3","1","1","6","1","0","1.9","3.75","3.8","1.8","3.9","4.1"
"22/09/2024","Rizespor","Samsunspor","0","1","A","0","0","D","13","9","2","2","13","11","3","0","2","2","0","0","2.3","3.5","2.9","2.7","3.2","2.63"
"22/09/2024","Ad. Demirspor","Alanyaspor","0","2","A","0","2","A","8","12","1","5","9","10","6","6","1","3","0","0","3","3.5","2.25","3.1","3.5","2.2"
"22/09/2024","Besiktas","Eyupspor","2","1","H","1","0","H","16","10","6","3","11","14","8","4","1","4","0","0","1.44","4.75","6","1.4","5","6.25"
"23/09/2024","Gaziantep","Trabzonspor","0","0","D","0","0","D","12","10","4","3","15","12","9","2","5","4","0","0","3.3","3.4","2.15","3","3.5","2.25"
"23/09/2024","Goztep","Kayserispor","3","0","H","2","0","H","18","8","8","3","14","10","6","4","2","2","0","0","1.83","3.7","4.2","1.75","3.8","4.5"
"27/09/2024","Sivasspor","Buyuksehyr","1","2","A","0","1","A","10","13","3","4","12","11","2","3","1","4","0","0","2.8","3.25","2.5","2.8","3.25","2.5"
"28/09/2024","Samsunspor","Goztep","4","3","H","1","2","A","22","9","11","4","6","9","6","3","0","2","0","0","1.95","3.3","3.9","1.95","3.3","4"
"28/09/2024","Alanyaspor","Rizespor","1","0","H","1","0","H","7","7","2","2","10","13","7","2","3","3","0","0","2.05","3.4","3.5","2.2","3.25","3.3"
"28/09/2024","Galatasaray","Kasimpasa","3","3","D","3","1","H","5","10","3","6","11","7","2","4","2","3","0","0","1.27","6.5","8","1.3","6.25","7"
"29/09/2024","Eyupspor","Gaziantep","3","2","H","1","1","D","11","11","5","4","13","8","5","5","1","4","0","0","1.9","3.5","4.1","1.7","3.7","4.75"
"29/09/2024","Trabzonspor","Konyaspor","3","2","H","2","1","H","11","9","4","4","11","7","4","2","4","1","0","0","1.85","3.4","4.33","1.83","3.5","4.33"
"29/09/2024","Antalyaspor","Fenerbahce","0","2","A","0","0","D","10","14","1","6","10","13","2","5","1","1","0","0","7","4.75","1.4","6.25","4.5","1.45"
"29/09/2024","Bodrumspor","Ad. Demirspor","3","1","H","1","0","H","14","8","6","3","12","12","7","6","3","5","0","0","1.75","3.7","4.5","1.75","3.6","4.5"
"30/09/2024","Kayserispor","Besiktas","0","3","A","0","0","D","10","9","4","5","12","11","7","3","4","3","0","0","5","4","1.62","4.75","4.2","1.62"
"04/10/2024","Rizespor","Antalyaspor","2","1","H","2","0","H","7","16","2","3","13","10","3","3","6","2","0","0","1.73","3.8","4.33","1.85","3.7","3.9"
"05/10/2024","Kasimpasa","Bodrumspor","0","0","D","0","0","D","20","4","5","1","9","15","5","0","0","4","0","1","1.95","3.4","4","1.8","3.5","4.5"
"05/10/2024","Goztep","Sivasspor","3","2","H","2","0","H","12","10","4","6","17","6","4","4","3","2","0","0","1.75","3.6","4.5","1.7","3.6","5"
"05/10/2024","Buyuksehyr","Kayserispor","1","1","D","0","1","A","16","11","8","4","12","17","3","3","1","1","0","0","1.57","4","5.75","1.7","3.9","4.5"
"05/10/2024","Hatayspor","Trabzonspor","1","1","D","1","0","H","13","15","6","7","14","14","4","7","4","6","0","0","3.75","3.3","2.05","3.2","3.3","2.25"
"06/10/2024","Konyaspor","Eyupspor","2","1","H","0","0","D","12","7","6","4","10","11","5","2","5","2","0","0","2.2","3.2","3.4","2.4","3.2","3"
"06/10/2024","Ad. Demirspor","Samsunspor","1","3","A","1","0","H","15","6","6","5","9","14","5","5","3","3","0","0","4.75","3.8","1.7","5","3.9","1.65"
"06/10/2024","Galatasaray","Alanyaspor","1","0","H","1","0","H","12","4","8","0","14","6","10","3","2","3","0","0","1.3","6","8","1.29","6.25","8"
"06/10/2024","Gaziantep","Besiktas","1","1","D","0","1","A","11","13","5","3","14","14","4","4","4","2","0","0","5","3.8","1.67","4.2","3.8","1.75"
"19/10/2024","Kayserispor","Gaziantep","2","2","D","1","2","A","14","8","4","3","11","12","13","0","3","1","0","0","2.15","3.5","3.2","2.25","3.5","3"
"19/10/2024","Trabzonspor","Buyuksehyr","1","0","H","0","0","D","15","6","4","2","16","17","8","1","0","4","0","0","2","3.5","3.6","2.1","3.25","3.5"
"19/10/2024","Antalyaspor","Galatasaray","0","3","A","0","1","A","12","14","5","9","10","7","5","7","2","4","0","0","6.5","5.25","1.38","5.5","4.75","1.5"
"19/10/2024","Eyupspor","Goztep","1","0","H","1","0","H","9","10","6","4","13","16","4","3","0","2","0","0","2.15","3.5","3.2","2","3.6","3.5"
"20/10/2024","Sivasspor","Hatayspor","3","2","H","1","1","D","14","9","6","3","2","11","8","7","1","1","0","0","2.15","3.4","3.25","2.2","3.4","3.2"
"20/10/2024","Besiktas","Konyaspor","2","0","H","2","0","H","16","11","4","3","13","9","9","5","2","4","0","0","1.4","5","6.5","1.45","4.75","6"
"20/10/2024","Alanyaspor","Kasimpasa","1","2","A","0","2","A","13","10","4","3","10","9","7","2","4","1","0","0","2.25","3.4","3.1","2.5","3.2","2.88"
"20/10/2024","Samsunspor","Fenerbahce","2","2","D","0","1","A","11","9","3","4","8","8","4","2","5","5","0","0","4.2","3.5","1.85","4.1","3.5","1.85"
"21/10/2024","Bodrumspor","Rizespor","0","1","A","0","0","D","13","6","2","2","13","13","5","0","2","2","0","0","2.38","3.2","3.1","2.4","3.1","3.2"
"25/10/2024","Ad. Demirspor","Sivasspor","2","4","A","2","1","H","12","10","8","6","15","16","4","6","1","3","0","0","2.75","3.4","2.45","2.75","3.4","2.45"
"26/10/2024","Hatayspor","Kayserispor","0","1","A","0","0","D","12","14","3","4","13","16","6","6","0","1","0","0","2.15","3.5","3.2","2.1","3.4","3.25"
"26/10/2024","Kasimpasa","Samsunspor","1","4","A","1","0","H","10","15","3","5","14","10","0","5","0","0","0","0","2.62","3.25","2.7","2.05","3.4","3.5"
"26/10/2024","Goztep","Trabzonspor","2","1","H","0","0","D","18","16","7","4","13","11","3","4","1","3","1","0","2.35","3.3","3","2.45","3.5","2.75"
"27/10/2024","Gaziantep","Konyaspor","3","1","H","1","1","D","14","8","5","2","13","15","8","3","2","2","0","0","2.5","3.3","2.8","2.45","3.5","2.7"
"27/10/2024","Alanyaspor","Antalyaspor","1","2","A","1","0","H","16","7","2","3","10","12","7","3","2","1","0","0","1.95","3.5","3.8","1.95","3.5","3.75"
"27/10/2024","Fenerbahce","Bodrumspor","2","0","H","1","0","H","19","8","5","1","15","8","9","1","2","1","0","0","1.22","6.5","11","1.29","5.75","9"
"28/10/2024","Buyuksehyr","Eyupspor","1","1","D","0","1","A","14","8","6","3","14","9","8","5","2","1","0","0","2.1","3.4","3.4","2.1","3.3","3.4"
"28/10/2024","Galatasaray","Besiktas","2","1","H","1","0","H","17","8","6","3","19","13","8","5","4","3","0","0","1.82","3.9","3.7","1.67","4.2","4.33"
"01/11/2024","Gaziantep","Goztep","2","1","H","0","0","D","15","15","6","5","11","20","1","3","2","2","0","0","2.45","3.5","2.75","2.35","3.5","2.88"
"02/11/2024","Sivasspor","Rizespor","2","1","H","0","1","A","7","14","3","3","10","16","6","4","5","2","1","0","2.55","3.3","2.75","2.63","3.25","2.7"
"02/11/2024","Kayserispor","Ad. Demirspor","0","0","D","0","0","D","14","9","4","4","11","13","7","7","4","3","0","0","1.6","4.5","4.75","1.45","4.75","6"
"02/11/2024","Besiktas","Kasimpasa","1","3","A","1","0","H","11","14","3","4","14","20","7","5","1","6","0","1","1.57","4.5","5","1.6","4.5","5"
"03/11/2024","Konyaspor","Buyuksehyr","3","2","H","1","1","D","13","15","5","6","16","13","2","3","3","2","0","0","2.45","3.2","2.8","2.4","3.2","3"
"03/11/2024","Bodrumspor","Alanyaspor","0","0","D","0","0","D","9","8","0","3","13","7","2","5","3","1","1","0","2.63","2.8","3","2.45","3","3.1"
"03/11/2024","Eyupspor","Hatayspor","2","0","H","1","0","H","9","15","4","2","16","16","3","5","3","4","0","0","1.7","3.75","4.75","1.67","4","4.75"
"03/11/2024","Trabzonspor","Fenerbahce","2","3","A","0","1","A","14","20","4","9","13","12","9","10","7","2","0","0","4.5","3.6","1.75","4.2","3.5","1.85"
